Produto;PreÁo;Link;Data;Fabricante;Modelo
Placa de VÌdeo RTX 3060 TI EAGLE 8G Gigabyte NVIDIA GeForce, rev. 2.0, 8GB GDDR6, RGB, LHR, DLSS, Ray Tracing - GV-N306TEAGLE-8GD;R$ ---;https://www.kabum.com.br/produto/320825/placa-de-video-rtx-3060-TI-eagle-8g-gigabyte-nvidia-geforce-rev-2-0-8gb-gddr6-rgb-lhr-dlss-ray-tracing-gv-n306teagle-8gd;05/12/2022 05:58;Gigabyte;RTX 3060 TI
Placa De VÌdeo Msi Nvidia Geforce Rtx 3060 Ventus 3x 12g Oc Lhr 12gb Gddr6 Dlss Ray Tracing;R$ ---;https://www.kabum.com.br/produto/372747/placa-de-video-msi-nvidia-geforce-rtx-3060-ventus-3x-12g-oc-lhr-12gb-gddr6-dlss-ray-tracing;05/12/2022 05:58;Msi;Rtx 3060 
Placa de VÌdeo Gainward, GeForce RTX 4090 Phantom 24GB, GDDR6X, 384 Bits - NED4090019SB-1020P;R$ ---;https://www.kabum.com.br/produto/398774/placa-de-video-gainward-geforce-rtx-4090-phantom-24gb-gddr6x-384-bits-ned4090019sb-1020p;05/12/2022 05:58;Gainward;RTX 4090 
Placa de VÌdeo RTX 3060 TI O8G V2 Asus NVIDIA GeForce DUAL, RGB, 8GB GDDR6, DLSS, LHR, Ray Tracing;R$ ---;https://www.kabum.com.br/produto/209926/placa-de-video-rtx-3060-TI-o8g-v2-asus-nvidia-geforce-dual-rgb-8gb-gddr6-dlss-lhr-ray-tracing;05/12/2022 05:58;Asus;RTX 3060 TI
Placa De Video Colorful Igame Geforce Gtx 1660 TI Nb 6gb V2-v Gddr6 192bit;R$ ---;https://www.kabum.com.br/produto/355232/placa-de-video-colorful-igame-geforce-gtx-1660-TI-nb-6gb-v2-v-gddr6-192bit;05/12/2022 05:58;Colorful;Gtx 1660 TI
Placa De VÌdeo Asus Tuf Nvidia Rtx 3090 TI - 24GB, Gddr6x, 384bits;R$ ---;https://www.kabum.com.br/produto/368184/placa-de-video-asus-tuf-nvidia-rtx-3090-TI-24gb-gddr6x-384bits;05/12/2022 05:58;Asus;Rtx 3090 TI
Placa De Video Colorful NVIDIA Geforce Rtx 3080 TI Vulcan, Igame, 12GB GDDR6x, LHR;R$ ---;https://www.kabum.com.br/produto/355236/placa-de-video-colorful-nvidia-geforce-rtx-3080-TI-vulcan-igame-12gb-gddr6x-lhr;05/12/2022 05:58;Colorful;Rtx 3080 TI
Placa De VÌdeo Duex Geforce Gt730 4gb, Ddr3, 64 Bits, Low Profile, Hdmi/dvi/vga - Dx Gt730lp-4gd3;R$ ---;https://www.kabum.com.br/produto/355219/placa-de-video-duex-geforce-gt730-4gb-ddr3-64-bits-low-profile-hdmi-dvi-vga-dx-gt730lp-4gd3;05/12/2022 05:58;Duex;Gt730 
Placa de VÌdeo RTX 3060 XC Black Gaming 12G P5 3655 KR EVGA NVIDIA GeForce, LHR, 12GB GDDR6, DLSS, Ray Tracing - 12G-P5-3655-KR;R$ ---;https://www.kabum.com.br/produto/213691/placa-de-video-rtx-3060-xc-black-gaming-12g-p5-3655-kr-evga-nvidia-geforce-lhr-12gb-gddr6-dlss-ray-tracing-12g-p5-3655-kr;05/12/2022 05:58;EVGA;RTX 3060 
Placa De Video Asus Geforce Rtx 3090 Tuf Gaming 24gb Gddr6x 384 Bits - Tuf-rtx3090-o24g-gaming;R$ ---;https://www.kabum.com.br/produto/199494/placa-de-video-asus-geforce-rtx-3090-tuf-gaming-24gb-gddr6x-384-bits-tuf-rtx3090-o24g-gaming;05/12/2022 05:58;Asus;Rtx 3090 
Placa De VÌdeo Gforce GTX 1050TI, 4GB, GDDR5, 128Bits, DVI, HDMI, Afox - AF1050TI-4096D5H5;R$ ---;https://www.kabum.com.br/produto/252387/placa-de-video-gforce-gtx-1050TI-4gb-gddr5-128bits-dvi-hdmi-afox-af1050TI-4096d5h5;05/12/2022 05:58;Afox;GTX 1050 TI
Placa De VÌdeo, Galax, Geforce RTX 3080 SG 1-click Oc Lhr 12GB, GDDR6X, 384bit, 38NOM5MD99SS;R$ ---;https://www.kabum.com.br/produto/364168/placa-de-video-galax-geforce-rtx-3080-sg-1-click-oc-lhr-12gb-gddr6x-384bit-38nom5md99ss;05/12/2022 05:58;Galax;RTX 3080 
Placa de VÌdeo Quadro T400 PNY NVIDIA, 4GB, GDDR6, PCIe 3.0 - VCNT4004GB-PB;R$ ---;https://www.kabum.com.br/produto/301519/placa-de-video-quadro-t400-pny-nvidia-4gb-gddr6-pcie-3-0-vcnt4004gb-pb;05/12/2022 05:58;PNY;T400 
Placa de VÌdeo RTX 3070 TI Trinity Zotac NVIDIA GeForce, 8GB GDDR6X, 19 Gbps, LHR, Ray Tracing, DLSS, RGB - ZT-A30710D-10P;R$ ---;https://www.kabum.com.br/produto/166105/placa-de-video-rtx-3070-TI-trinity-zotac-nvidia-geforce-8gb-gddr6x-19-gbps-lhr-ray-tracing-dlss-rgb-zt-a30710d-10p;05/12/2022 05:58;Zotac;RTX 3070 TI
Placa De VÌdeo Asus Nvidia Geforce, Ko Rtx 3060 TI V2 Oc EdiTIon 8GB, GDDR6 Lhr HDMI dp Ko-rtx3060TI-o8g-v2-gaming.;R$ ---;https://www.kabum.com.br/produto/319246/placa-de-video-asus-nvidia-geforce-ko-rtx-3060-TI-v2-oc-ediTIon-8gb-gddr6-lhr-hdmi-dp-ko-rtx3060TI-o8g-v2-gaming-;05/12/2022 05:58;Asus;Rtx 3060 TI
