,Produto,Preço,Link,Data
109,"Placa De Vídeo Afox Radeon R5 220, 1GB, DDR3, 64bit, Low Profile, HDMI/DVI/VGA - Afr5220-1024d3l9-v2",R$ ---,https://www.kabum.com.br/produto/171425/placa-de-video-afox-radeon-r5-220-1gb-ddr3-64bit-low-profile-hdmi-dvi-vga-afr5220-1024d3l9-v2,05/12/2022 05:32:19
110,"Placa De Vídeo Asus Tuf AMD RX 6900xt - 16 GB, 256bits",R$ ---,https://www.kabum.com.br/produto/368123/placa-de-video-asus-tuf-amd-rx-6900xt-16-gb-256bits,05/12/2022 05:32:19
111,"Placa De Video 2GB, DDR3, AMD Radeon R5 220 VGA, HDMI",R$ ---,https://www.kabum.com.br/produto/199091/placa-de-video-2gb-ddr3-amd-radeon-r5-220-vga-hdmi,05/12/2022 05:32:19
112,"Placa De Video AMD GPU, HD 6570, 2GB GDDR3, 128 Bits, ATX, Single Fan - PJ6570HDR3SF",R$ ---,https://www.kabum.com.br/produto/271841/placa-de-video-amd-gpu-hd-6570-2gb-gddr3-128-bits-atx-single-fan-pj6570hdr3sf,05/12/2022 05:32:19
113,"Placa de Vídeo AXRX 6600 3DH Power Color Fighter AMD Radeon, 8GB GDDR6, Preto - AXRX 6600 8GBD6-3DH",R$ ---,https://www.kabum.com.br/produto/250880/placa-de-video-axrx-6600-3dh-power-color-fighter-amd-radeon-8gb-gddr6-preto-axrx-6600-8gbd6-3dh,05/12/2022 05:32:19
114,"Placa de Vídeo RX 6700 XT GAMING OC 12G Gigabyte Radeon, 12GB GDDR6, RGB Fusion e WindForce, AMD RDNA 2 - GV-R67XTGAMING OC-12GD",R$ ---,https://www.kabum.com.br/produto/155428/placa-de-video-rx-6700-xt-gaming-oc-12g-gigabyte-radeon-12gb-gddr6-rgb-fusion-e-windforce-amd-rdna-2-gv-r67xtgaming-oc-12gd,05/12/2022 05:32:19
115,"Placa de Vídeo RX 6900 XT OEM Sapphire AMD Radeon, 16GB GDDR6, 18Gbps, AMD RDNA 2 - 21308-02-10G",R$ ---,https://www.kabum.com.br/produto/162935/placa-de-video-rx-6900-xt-oem-sapphire-amd-radeon-16gb-gddr6-18gbps-amd-rdna-2-21308-02-10g,05/12/2022 05:32:19
116,"Placa de Vídeo RX 6950 XT Nitro+ Pure Gaming OC Sapphire, ARGB, 16GB GDDR6, Arquitetura RDNA2, Ray Tracing - 11317-04-20G",R$ ---,https://www.kabum.com.br/produto/351576/placa-de-video-rx-6950-xt-nitro-pure-gaming-oc-sapphire-argb-16gb-gddr6-arquitetura-rdna2-ray-tracing-11317-04-20g,05/12/2022 05:32:19
117,"Placa de Vídeo HD 5450 Pcyes AMD Radeon, 1GB, DDR3, com Kit Low Profile - PJ1G5450R3",R$ ---,https://www.kabum.com.br/produto/302208/placa-de-video-hd-5450-pcyes-amd-radeon-1gb-ddr3-com-kit-low-profile-pj1g5450r3,05/12/2022 05:32:19
118,"Placa de Vídeo Gigabyte AMD Radeon RX 5600 XT Windforce OC 6G, 6GB, GDDR6, (rev 1.0) - GV-R56XTWF2OC-6GD",R$ ---,https://www.kabum.com.br/produto/113296/placa-de-video-gigabyte-amd-radeon-rx-5600-xt-windforce-oc-6g-6gb-gddr6-rev-1-0-gv-r56xtwf2oc-6gd,05/12/2022 05:32:19
